# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	228098
#@/user_id	3eb7fba5-02d4-4760-8547-f0decde08619
a 	啊	c=692 d=1.71343 t=228098
nei bu 	內部	c=141 d=0.54863 t=228098
nei bu qun 	內部羣	c=1 d=7.39912e-16 t=228098
nei ceng 	內層	c=1 d=1 t=215811
nei cun 	內存	c=18 d=1.61721 t=228098
nei gong 	內功	c=0 d=3.96371e-56 t=228098
nei gong xin fa 	內功心法	c=1 d=3.98358e-55 t=228098
nei gou 	內夠	c=1 d=1.41233e-91 t=228098
nei gou 	內購	c=1 d=1.42653e-91 t=228098
nei hao 	內耗	c=1 d=2.24005e-47 t=228098
nei he 	內核	c=1 d=1 t=206153
nei jian 	內建	c=1 d=6.38476e-46 t=228098
nei ju 	內聚	c=1 d=2.24089e-22 t=228098
nei ju 	內舉	c=1 d=2.22971e-22 t=228098
nei juan 	內卷	c=4 d=1.1876e-50 t=228098
nei juan 	內眷	c=1 d=1.18523e-58 t=228098
nei juan cheng 	內卷成	c=1 d=5.82512e-55 t=228098
nei rong 	內容	c=119 d=0.189297 t=228098
nei rong ceng 	內容層	c=1 d=7.04545e-28 t=228098
nei tian 	那天	c=0 d=5.66934e-90 t=228098
nei wan 	內萬	c=1 d=1 t=213457
nei wang 	內網	c=7 d=0.02863 t=228098
nei wei 	內味	c=1 d=2.1209e-51 t=228098
nei xiang 	內向	c=1 d=1.93875e-24 t=228098
nei xin 	內心	c=4 d=1.75157e-06 t=228098
nei xing 	內省	c=1 d=0.00677172 t=228098
nei zheng bu 	內政部	c=1 d=6.28543e-38 t=228098
nei zhi 	內置	c=32 d=0.0349094 t=228098
nei zhi ku 	內置庫	c=1 d=3.81437e-15 t=228098
nen 	嫩	c=4 d=0.0378169 t=228098
nen gu bu neng 	嫩故不能	c=2 d=1.99501 t=199024
neng 	能	c=598 d=1.59982 t=228098
neng bu en na ge 	能不恩納個	c=2 d=1.70734e-58 t=228098
neng bu neng 	能不能	c=53 d=0.496585 t=228098
neng bu neng fen xiang 	能不能分享	c=1 d=1 t=221797
neng bu neng kan dao 	能不能看到	c=1 d=2.95632e-17 t=228098
neng bu neng zheng chang 	能不能正常	c=1 d=2.96862e-07 t=228098
neng bu shu xi 	能不熟悉	c=1 d=5.58833e-08 t=228098
neng da 	能打	c=1 d=0.537944 t=228098
neng da kai 	能打開	c=3 d=2.34164e-10 t=228098
neng dao 	能到	c=2 d=1.45247e-09 t=228098
neng fei 	能飛	c=1 d=1.21983e-73 t=228098
neng fou 	能否	c=15 d=4.34392e-15 t=228098
neng gai 	能改	c=1 d=1.47467e-11 t=228098
neng gan 	能幹	c=1 d=5.65026e-20 t=228098
neng gao 	能搞	c=2 d=3.9955e-53 t=228098
neng gong 	能攻	c=1 d=1 t=205208
neng gou 	能夠	c=42 d=0.337902 t=228098
neng gou fu yong 	能夠復用	c=1 d=1 t=205209
neng guo guan 	能過關	c=1 d=3.35577e-08 t=228098
neng hao 	能耗	c=1 d=5.95635e-23 t=228098
neng kan 	能看	c=5 d=0.000283018 t=228098
neng kan dao 	能看到	c=6 d=2.49933e-12 t=228098
neng kan jiu xing 	能看就行	c=1 d=0.65377 t=228098
neng li 	能力	c=118 d=0.608473 t=228098
neng li ceng 	能力層	c=1 d=9.33188e-11 t=228098
neng li yue da 	能力越大	c=1 d=2.17142e-122 t=228098
neng liang 	能量	c=7 d=0.769634 t=228098
neng liang dian chi 	能量電池	c=1 d=8.17173e-08 t=228098
neng man zu 	能滿足	c=1 d=1 t=214938
neng nai 	能耐	c=1 d=7.92726e-33 t=228098
neng neng bu neng 	能能不能	c=1 d=1.56097e-33 t=228098
neng ting dao 	能聽到	c=1 d=1 t=204774
neng wei 	能爲	c=1 d=4.38058e-55 t=228098
neng xian shi 	能顯示	c=1 d=1 t=214211
neng xing 	能行	c=3 d=0.116202 t=228098
neng xiu 	能修	c=1 d=1.04795e-51 t=228098
neng yong 	能用	c=7 d=7.03946e-18 t=228098
neng zheng chang 	能正常	c=1 d=3.58895e-63 t=228098
neng zuo 	能做	c=5 d=5.1578e-06 t=228098
ni 	你	c=3361 d=6.08116 t=228098
ni 	尼	c=0 d=3.25704e-40 t=228098
ni a 	你啊	c=2 d=1.19287e-16 t=228098
ni bi shi 	你比是	c=1 d=3.13957e-48 t=228098
ni bu gou 	你不夠	c=1 d=1.08344e-31 t=228098
ni bu shi 	你不是	c=5 d=1.79621e-08 t=228098
ni bu zou 	你不走	c=1 d=2.3549e-47 t=228098
ni cheng 	昵稱	c=12 d=9.77425e-07 t=228098
ni da 	你打	c=1 d=1 t=199960
ni dang shi 	你當時	c=1 d=5.28837e-06 t=228098
ni de 	你的	c=37 d=0.247905 t=228098
ni en 	你恩	c=1 d=0.00323088 t=228098
ni ge 	你個	c=0 d=2.02454e-05 t=228098
ni gu 	尼姑	c=0 d=4.37625e-15 t=228098
ni hao 	你好	c=14 d=0.484325 t=228098
ni hui lai 	你回來	c=1 d=3.44013e-06 t=228098
ni jiu 	你就	c=1 d=2.4515e-20 t=228098
ni jue de 	你覺得	c=3 d=0.45612 t=228098
ni kan 	你看	c=4 d=1.51514e-06 t=228098
ni kan kan 	你看看	c=4 d=4.68782e-29 t=228098
ni ke yi 	你可以	c=4 d=6.79272e-10 t=228098
ni ken ding 	你肯定	c=1 d=2.61659e-22 t=228098
ni lai 	你來	c=1 d=1 t=222871
ni lia 	你倆	c=3 d=1.00005 t=205687
ni mang 	你忙	c=2 d=8.01947e-22 t=228098
ni mang zhe 	你忙着	c=1 d=1.54397e-110 t=228098
ni me 	你麼	c=13 d=0.0596059 t=228098
ni mei 	你沒	c=2 d=9.17545e-18 t=228098
ni mei you 	你沒有	c=1 d=1.75909e-27 t=228098
ni men 	你們	c=941 d=1.93517 t=228098
ni men bu 	你們不	c=1 d=0.000457378 t=228098
ni men dan wei 	你們單位	c=1 d=1 t=220481
ni men de 	你們的	c=3 d=4.26879e-08 t=228098
ni men fa 	你們法	c=1 d=4.97008e-11 t=228098
ni men ne 	你們呢	c=2 d=0.444858 t=228098
ni men you 	你們有	c=1 d=9.37037e-30 t=228098
ni men zai jia 	你們在家	c=1 d=2.71403e-11 t=228098
ni men zao shang chi 	你們早上吃	c=1 d=4.99058e-30 t=228098
ni meng 	你蒙	c=1 d=2.04343e-25 t=228098
ni ming 	匿名	c=2 d=7.26396e-05 t=228098
ni na 	你拿	c=2 d=0.000682328 t=228098
ni ne ge 	你呢個	c=3 d=1.0872e-13 t=228098
ni neng 	你能	c=2 d=1.26861e-05 t=228098
ni neng gou 	你能夠	c=1 d=5.8164e-08 t=228098
ni ni ni 	你你你	c=1 d=9.59941e-20 t=228098
ni o 	你哦	c=1 d=1.33939e-26 t=228098
ni sheng ci 	擬聲詞	c=1 d=3.60572e-59 t=228098
ni shi 	你是	c=2 d=5.65911e-09 t=228098
ni shi bu shi 	你是不是	c=2 d=2.7765e-14 t=228098
ni shi zhen 	逆時針	c=1 d=0.000149981 t=228098
ni shu liang 	你數量	c=1 d=2.58062e-65 t=228098
ni shuo 	你說	c=6 d=0.467666 t=228098
ni tu 	泥土	c=1 d=1.2895e-50 t=228098
ni xiang 	你想	c=0 d=0.00209629 t=228098
ni you 	你有	c=1 d=7.42459e-27 t=228098
ni zai 	你在	c=1 d=4.89775e-15 t=228098
ni zen 	你怎	c=1 d=1 t=217865
ni zhe 	逆着	c=1 d=1.67177e-75 t=228098
ni zhe bi a 	你這筆啊	c=1 d=2.12899e-37 t=228098
ni zhe ge 	你這個	c=4 d=0.0017555 t=228098
ni zhi dao 	你知道	c=1 d=1.79304e-46 t=228098
nian 	年	c=40 d=0.172325 t=228098
nian di 	年底	c=3 d=0.000380129 t=228098
nian du 	年度	c=1 d=1.8506e-06 t=228098
nian hou 	年後	c=4 d=2.27282e-12 t=228098
nian ji 	年級	c=2 d=1.53883e-12 t=228098
nian jia 	年假	c=2 d=6.28563e-09 t=228098
nian qian 	年前	c=8 d=0.000287633 t=228098
nian qing 	年輕	c=4 d=1.75849e-23 t=228098
nian qing ren 	年輕人	c=1 d=1.03862e-34 t=228098
nian tie 	粘貼	c=0 d=0.00168231 t=228098
nian tou 	年頭	c=1 d=4.3559e-18 t=228098
nian tou 	念頭	c=1 d=4.31256e-18 t=228098
nian xian 	年限	c=0 d=0.0790571 t=228098
nian xin 	年薪	c=1 d=6.17816e-12 t=228098
nian ya 	碾壓	c=1 d=6.80682e-05 t=228098
nian zhong jiang 	年終獎	c=1 d=9.98437e-12 t=228098
niao 	鳥	c=7 d=0.00117088 t=228098
niao qiang 	鳥槍	c=1 d=3.76643e-72 t=228098
nie 	捏	c=3 d=1.77641e-54 t=228098
nie bu 	捏不	c=2 d=1.3097e-27 t=228098
nie men 	捏們	c=1 d=1.07299e-64 t=228098
nie mie 	捻滅	c=2 d=9.08961e-45 t=228098
nie mie ni 	捻滅你	c=6 d=3.42239e-05 t=228098
nie rong 	聶榮	c=1 d=1.18301e-36 t=228098
nin 	您	c=41 d=0.598846 t=228098
nin hai ji de me 	您還記得麼	c=1 d=6.69045e-08 t=228098
nin men 	您們	c=1 d=1.87621e-50 t=228098
nin shuo 	您說	c=1 d=3.01636e-77 t=228098
ning 	寧	c=4 d=0.0237541 t=228098
ning zhi qiang 	寧志強	c=1 d=1 t=203683
niu 	牛	c=17 d=0.162026 t=228098
niu bi 	牛逼	c=127 d=0.983894 t=228098
niu bi dian 	牛逼點	c=3 d=1.27141e-49 t=228098
niu men 	紐門	c=1 d=1.47252e-82 t=228098
niu nai 	牛奶	c=8 d=0.217297 t=228098
niu tou ren 	牛頭人	c=3 d=6.80313e-28 t=228098
niu yue 	紐約	c=0 d=2.18973e-16 t=228098
niu yue bi 	紐約比	c=1 d=2.2007e-15 t=228098
niu zai 	牛仔	c=1 d=3.66894e-87 t=228098
nong 	弄	c=174 d=0.879466 t=228098
nong a 	弄啊	c=1 d=1.41013e-102 t=228098
nong bu a hou 	弄不啊後	c=2 d=1.9018e-40 t=228098
nong bu hao 	弄不好	c=5 d=6.20808e-10 t=228098
nong bu le 	弄不了	c=1 d=2.46783e-98 t=228098
nong chen 	弄沉	c=2 d=0.00182715 t=228098
nong cheng 	弄成	c=4 d=0.000191619 t=228098
nong chu qu 	弄出去	c=1 d=0.000678925 t=228098
nong cun 	農村	c=6 d=3.39538 t=228098
nong cuo 	弄錯	c=6 d=4.77358e-07 t=228098
nong dao 	弄到	c=10 d=3.50827e-05 t=228098
nong dian 	弄點	c=1 d=1.38809e-05 t=228098
nong diao 	弄掉	c=1 d=1.10476e-25 t=228098
nong diu 	弄丟	c=1 d=9.50328e-78 t=228098
nong dui 	弄對	c=2 d=0.000430743 t=228098
nong ge 	弄個	c=2 d=9.96368e-17 t=228098
nong guo 	弄過	c=18 d=0.472367 t=228098
nong guo guo 	弄過過	c=1 d=2.67946e-66 t=228098
nong hang 	農行	c=2 d=2.56129e-07 t=228098
nong hao 	弄好	c=8 d=2.08293e-15 t=228098
nong ji qi nu 	弄機器怒	c=1 d=5.27275e-30 t=228098
nong nong 	弄弄	c=1 d=1 t=221210
nong nong 	濃濃	c=1 d=1 t=221209
nong tian 	農田	c=1 d=1.32116e-100 t=228098
nong wan 	弄完	c=3 d=0.00329615 t=228098
nong wan 	弄彎	c=10 d=0.0948935 t=228098
nong xia 	弄下	c=3 d=0.00996975 t=228098
nong xia lai 	弄下來	c=4 d=2.82248e-23 t=228098
nong yi ge 	弄一個	c=1 d=1.32638e-117 t=228098
nong yi guan 	農藝館	c=8 d=6.16116e-09 t=228098
nong yi tao 	弄一套	c=1 d=1.24994e-07 t=228098
nong yin si 	弄隱私	c=1 d=0.0706512 t=228098
nong zhe 	弄着	c=3 d=1.57291e-05 t=228098
nu 	怒	c=1 d=8.65317e-05 t=228098
nu li 	努力	c=16 d=0.0301974 t=228098
nu li 	奴隸	c=1 d=1 t=227399
nu li ren 	努力人	c=1 d=3.86046e-68 t=228098
nuan 	暖	c=1 d=0.000835412 t=228098
nuan nuan du zi 	暖暖肚子	c=1 d=0.008396 t=228098
nuan qi 	暖氣	c=2 d=0.00753308 t=228098
nuan xin 	暖心	c=1 d=1 t=205814
nuo 	喏	c=1 d=1.59283e-06 t=228098
nuo 	挪	c=2 d=4.0468e-05 t=228098
nuo 	諾	c=0 d=6.97074e-118 t=228098
nuo dao 	挪到	c=2 d=4.81565e-22 t=228098
nuo dao 	糯稻	c=1 d=1.03306e-59 t=228098
nuo dong 	挪動	c=19 d=0.022309 t=228098
nuo dong dong 	挪動動	c=1 d=1.47492e-13 t=228098
nuo sen de 	諾森的	c=2 d=2.25997e-25 t=228098
nuo zou 	挪走	c=1 d=8.90125e-14 t=228098
nv 	女	c=7 d=0.00414854 t=228098
nv er 	女兒	c=3 d=0.112554 t=228098
nv ji si 	女祭司	c=7 d=2.65893e-06 t=228098
nv peng you 	女朋友	c=6 d=1.16865e-10 t=228098
nv ren 	女人	c=1 d=1 t=199844
nv shen 	女神	c=5 d=4.14724e-10 t=228098
nv shen jie 	女神節	c=1 d=8.29275e-122 t=228098
nv sheng 	女生	c=6 d=7.87298e-11 t=228098
nv sheng 	女聲	c=2 d=4.13093e-92 t=228098
nv shi 	女士	c=1 d=0.228779 t=228098
nv wang 	女王	c=4 d=7.67467e-05 t=228098
nv xing 	女性	c=2 d=2.46505e-26 t=228098
nv zei 	女賊	c=1 d=1 t=202762
nve 	虐	c=2 d=6.00633e-103 t=228098
nve can 	虐慘	c=1 d=4.06708e-05 t=228098
nve ni 	虐你	c=2 d=3.4689e-88 t=228098
o 	哦	c=646 d=3.54709 t=228098
o 	噢	c=50 d=1.99128e-15 t=228098
o ban 	哦版	c=1 d=7.89604e-16 t=228098
o ban jin e 	哦版金額	c=1 d=2.6612e-15 t=228098
o du 	哦度	c=2 d=3.87202e-15 t=228098
o gong de 	噢功德	c=1 d=7.82121e-51 t=228098
o me 	哦麼	c=2 d=5.31669e-10 t=228098
o men 	哦們	c=1 d=4.99925e-21 t=228098
o na ge 	哦那個	c=3 d=0.00437178 t=228098
o o 	哦哦	c=43 d=0.865022 t=228098
o o o 	哦哦哦	c=1 d=1.34835e-75 t=228098
o shi 	哦是	c=1 d=1.02685e-47 t=228098
o wo men 	哦我們	c=11 d=2.21023e-07 t=228098
o zhe ge 	哦這個	c=1 d=2.02172e-17 t=228098
ou 	偶	c=9 d=0.00160441 t=228098
ou da 	毆打	c=17 d=0.0130189 t=228098
ou de 	偶得	c=1 d=1.78222e-63 t=228098
ou er 	偶爾	c=6 d=6.38062e-09 t=228098
ou fu 	歐服	c=1 d=2.4738e-97 t=228098
ou guan 	歐冠	c=0 d=7.08823e-12 t=228098
ou he 	耦合	c=4 d=0.000420107 t=228098
ou ke 	歐克	c=1 d=1 t=221015
ou po lai 	歐珀萊	c=0 d=0.1 t=221013
ou ran 	偶然	c=1 d=4.12912e-36 t=228098
ou xian 	偶先	c=3 d=3.06267e-21 t=228098
ou xie 	嘔血	c=0 d=3.29079e-73 t=228098
ou xiu 	甌繡	c=1 d=9.73289e-06 t=228098
ou yuan 	歐元	c=1 d=2.59549e-15 t=228098
pa 	怕	c=82 d=0.138632 t=228098
pa 	爬	c=1 d=7.57175e-52 t=228098
pa 	趴	c=10 d=0.00042223 t=228098
pa bu pa 	怕不怕	c=1 d=1.01519e-89 t=228098
pa chao 	怕超	c=1 d=1.01367e-42 t=228098
pa chong 	爬蟲	c=1 d=2.47362e-08 t=228098
pa ge 	怕個	c=1 d=3.01287e-34 t=228098
pa leng 	怕冷	c=1 d=0.00612731 t=228098
pa pa 	啪啪	c=2 d=6.96287e-14 t=228098
pa pa pa 	啪啪怕	c=1 d=6.30404e-14 t=228098
pa sha 	怕啥	c=2 d=1.90891e-18 t=228098
pa shan 	爬山	c=1 d=3.42986e-59 t=228098
pa shi 	怕是	c=2 d=3.09503e-27 t=228098
pa shu 	怕輸	c=1 d=1 t=227689
pa ta 	爬塔	c=7 d=1.07259e-49 t=228098
pa wan 	爬完	c=1 d=7.56041e-05 t=228098
pa yi hui 	趴一會	c=1 d=9.90355e-34 t=228098
pa zhe 	趴着	c=1 d=2.40754e-13 t=228098
pai 	拍	c=14 d=0.440432 t=228098
pai 	排	c=7 d=0.442639 t=228098
pai 	派	c=7 d=6.41221e-18 t=228098
pai bu shang 	排不上	c=2 d=5.99251e-06 t=228098
pai ca han 	拍擦汗	c=2 d=0.102284 t=228098
pai cha 	排查	c=144 d=0.977148 t=228098
pai chu 	排除	c=8 d=0.519442 t=228098
pai chu suo 	派出所	c=2 d=4.14108e-70 t=228098
pai dao 	拍到	c=0 d=1.32701e-06 t=228098
pai dao 	排到	c=2 d=0.299692 t=228098
pai dao ni 	拍到你	c=1 d=1.33366e-05 t=228098
pai dian 	拍點	c=1 d=1 t=227366
pai dui 	排隊	c=7 d=4.51735e-05 t=228098
pai ge zhao 	拍個着	c=1 d=2.96681e-88 t=228098
pai gu 	排骨	c=1 d=7.9084e-05 t=228098
pai guo lai 	派過來	c=1 d=1.88011e-45 t=228098
pai hou 	拍後	c=1 d=4.64765e-16 t=228098
pai huai 	徘徊	c=1 d=3.76579e-70 t=228098
pai mai 	拍賣	c=1 d=1.25766e-50 t=228098
pai mai hang 	拍賣行	c=4 d=2.3327e-05 t=228098
pai ming 	排名	c=3 d=1.05525e-15 t=228098
pai pai 	拍拍	c=1 d=1 t=209952
pai qi 	排期	c=24 d=5.31488e-06 t=228098
pai qi 	排氣	c=6 d=2.58431e-23 t=228098
pai shang 	排上	c=4 d=0.332871 t=228098
pai shang 	派上	c=3 d=1.44596e-15 t=228098
pai she 	拍攝	c=2 d=5.59178e-69 t=228098
pai shi pin 	拍視頻	c=2 d=5.23541e-64 t=228098
pai song 	派送	c=1 d=3.49558e-47 t=228098
pai wan xu 	排完序	c=1 d=1.30361e-31 t=228098
pai xu 	排序	c=4 d=2.69023e-25 t=228098
pai yi zhang 	拍一張	c=1 d=0.506617 t=228098
pai yun 	拍暈	c=1 d=1.58596e-14 t=228098
pai zai 	排在	c=1 d=1.22157e-31 t=228098
pai zhao 	拍照	c=38 d=1.89204e-07 t=228098
pai zhe 	拍着	c=1 d=7.52246e-34 t=228098
pai zi 	牌子	c=2 d=0.412714 t=228098
pan 	潘	c=0 d=5.18895e-19 t=228098
pan 	盤	c=1 d=2.49457e-20 t=228098
pan bi 	攀比	c=1 d=3.29671e-05 t=228098
pan da li ya 	潘大利亞	c=1 d=5.21496e-18 t=228098
pan ding 	判定	c=4 d=8.80941e-06 t=228098
pan du 	判讀	c=0 d=5.93572e-42 t=228098
pan du a 	判讀啊	c=4 d=0.109701 t=228098
pan duan 	判斷	c=96 d=0.255381 t=228098
pan ge ge 	盤哥哥	c=1 d=2.50708e-19 t=228098
pan jia yuan 	潘家園	c=1 d=3.86757e-119 t=228098
pan kong 	判空	c=1 d=3.66481e-15 t=228098
pan zi 	盤子	c=0 d=1.4059e-09 t=228098
pan zi le 	盤子了	c=1 d=1.41295e-08 t=228098
pang 	旁	c=4 d=0.00408677 t=228098
pang 	胖	c=4 d=1.54949e-05 t=228098
pang 	龐	c=2 d=3.8707e-11 t=228098
pang bian 	旁邊	c=2 d=1.6881e-13 t=228098
pang da 	龐大	c=2 d=3.16186e-43 t=228098
pang ge 	龐哥	c=3 d=3.54288e-19 t=228098
pang shou 	胖瘦	c=1 d=1.14353e-19 t=228098
pang ting 	旁聽	c=3 d=4.80879e-64 t=228098
pang xie 	螃蟹	c=1 d=1 t=227896
pang zi 	胖子	c=0 d=1.98546e-11 t=228098
pao 	拋	c=1 d=1.95019e-05 t=228098
pao 	泡	c=3 d=1.24994e-07 t=228098
pao 	炮	c=2 d=2.45492e-08 t=228098
pao 	袍	c=2 d=1.70659e-05 t=228098
pao 	跑	c=25 d=3.79409e-05 t=228098
pao bu 	跑步	c=2 d=2.35826e-05 t=228098
pao bu qi lai 	跑不起來	c=1 d=1.46428e-16 t=228098
pao cha 	泡茶	c=1 d=6.332e-66 t=228098
pao chu 	拋出	c=1 d=2.57125e-81 t=228098
pao chu 	拋除	c=1 d=3.1596e-64 t=228098
pao chu 	跑出	c=2 d=3.32103e-62 t=228098
pao chu qu 	跑出去	c=1 d=1.73739e-28 t=228098
pao cuo wu 	拋錯誤	c=1 d=9.13124e-20 t=228098
pao jiao 	泡腳	c=1 d=0.00355287 t=228098
pao lai 	跑來	c=2 d=2.44044e-55 t=228098
pao lu 	跑路	c=5 d=0.0195457 t=228098
pao mian 	泡麪	c=2 d=3.09292e-19 t=228098
pao mo 	泡沫	c=1 d=1 t=218091
pao na li 	跑哪裏	c=2 d=7.57458e-27 t=228098
pao niu 	泡妞	c=2 d=1.397e-102 t=228098
pao pao 	泡泡	c=3 d=0.00384878 t=228098
pao qi lai 	跑起來	c=6 d=3.25825e-14 t=228098
pao qu 	拋去	c=2 d=3.50057e-05 t=228098
pao qu 	跑去	c=1 d=3.51812e-05 t=228098
pao wan 	跑完	c=1 d=1 t=215856
pao xia 	跑下	c=1 d=0.0880368 t=228098
pao zai 	泡在	c=2 d=2.06706e-72 t=228098
pao zai 	跑在	c=2 d=0.060205 t=228098
pao zhe 	跑着	c=1 d=3.31719e-19 t=228098
pei 	配	c=5 d=0.0106734 t=228098
pei 	陪	c=13 d=0.0652616 t=228098
pei ban 	陪伴	c=5 d=4.69436e-16 t=228098
pei bu pei 	配不配	c=1 d=1 t=214456
pei chang 	賠償	c=1 d=1 t=223492
pei fu 	佩服	c=1 d=6.52859e-14 t=228098
pei hai zi 	陪孩子	c=2 d=3.41588e-11 t=228098
pei he 	配合	c=27 d=0.272532 t=228098
pei he ma 	配合嗎	c=1 d=8.13374e-12 t=228098
pei hu 	陪護	c=1 d=5.12231e-13 t=228098
pei ni 	陪你	c=1 d=1.77526e-18 t=228098
pei ou 	配偶	c=2 d=0.00302233 t=228098
pei pan 	胚盤	c=2 d=4.67095e-16 t=228098
pei pei 	陪陪	c=1 d=1.41041e-75 t=228098
pei shang 	披上	c=1 d=8.25386e-08 t=228098
pei shang qu 	配上去	c=1 d=5.37343e-76 t=228098
pei tao 	配套	c=1 d=5.69019e-44 t=228098
pei wen 	沛文	c=91 d=0.228138 t=228098
pei xun 	培訓	c=2 d=1.0609e-19 t=228098
pei yang 	培養	c=2 d=2.68977e-23 t=228098
pei zhi 	配置	c=426 d=1.06351 t=228098
pei zhi you dian wen ti 	配置有點問題	c=1 d=1 t=221070
pei zi 	胚子	c=0 d=1.33407e-39 t=228098
pei zi hao 	胚子好	c=1 d=1.34076e-38 t=228098
pen 	噴	c=3 d=6.65934e-12 t=228098
pen fa 	噴發	c=0 d=1.88863e-11 t=228098
pen she qi 	噴射器	c=2 d=0.00644663 t=228098
peng 	彭	c=1 d=1.44111e-93 t=228098
peng 	朋	c=6 d=0.00179097 t=228098
peng 	碰	c=4 d=0.00154523 t=228098
peng 	篷	c=1 d=1.43392e-93 t=228098
peng 	鵬	c=16 d=0.00177323 t=228098
peng a dou 	鵬阿斗	c=1 d=3.57786e-56 t=228098
peng chang 	捧場	c=1 d=1 t=198868
peng dao 	碰到	c=47 d=0.467666 t=228098
peng dao guo 	碰到過	c=4 d=0.0958472 t=228098
peng gen 	捧哏	c=1 d=1.55752e-07 t=228098
peng guo gui dao 	碰過軌道	c=1 d=1 t=227265
peng mian 	碰面	c=1 d=1.51535e-37 t=228098
peng peng 	碰碰	c=3 d=3.44963e-09 t=228098
peng ren 	烹飪	c=1 d=1 t=196762
peng xia 	碰下	c=4 d=8.40029e-09 t=228098
peng xin 	鵬鑫	c=1 d=4.07262e-21 t=228098
peng yo 	鵬喲	c=2 d=2.2502e-12 t=228098
peng you 	朋友	c=25 d=0.0218387 t=228098
peng you hou 	朋友後	c=1 d=2.13516e-71 t=228098
peng you men 	朋友們	c=5 d=1.00068e-09 t=228098
peng you quan 	朋友圈	c=5 d=0.00228818 t=228098
peng zhang 	膨脹	c=1 d=6.37675e-90 t=228098
peng zhuang 	碰撞	c=7 d=0.0116786 t=228098
peng zhuang ti 	碰撞體	c=1 d=5.5739e-07 t=228098
pi 	批	c=1 d=2.6984e-90 t=228098
pi 	皮	c=2 d=6.22057e-63 t=228098
pi 	闢	c=1 d=3.84068e-37 t=228098
pi cha 	劈叉	c=1 d=1 t=219421
pi ci 	批次	c=1 d=1 t=199649
pi dou 	批鬥	c=2 d=0.99005 t=228098
pi feng 	披風	c=2 d=4.96519e-50 t=228098
pi fu 	皮膚	c=4 d=0.965605 t=228098
pi gu 	屁股	c=6 d=5.89708e-23 t=228098
pi jing 	僻靜	c=1 d=4.71789e-16 t=228098
pi lao 	疲勞	c=1 d=2.70933e-20 t=228098
pi liang 	批量	c=26 d=0.65377 t=228098
pi liang chuang jian 	批量創建	c=1 d=4.22087e-118 t=228098
pi pan 	批判	c=1 d=0.0495388 t=228098
pi pei 	匹配	c=49 d=1.3599 t=228098
pi pei hong 	匹配宏	c=1 d=2.55503e-36 t=228098
pi pi 	皮皮	c=2 d=5.54291e-59 t=228098
pi pi xia 	皮皮蝦	c=1 d=3.17004e-44 t=228098
pi qi 	脾氣	c=1 d=1 t=205956
pi rou 	皮肉	c=0 d=4.44995e-35 t=228098
pi rou ce shi si nian ge 	皮肉測試四年個	c=1 d=4.47226e-34 t=228098
pi ru 	譬如	c=3 d=1.99094e-13 t=228098
pi xie 	皮鞋	c=2 d=6.5124e-06 t=228098
pi zhu 	批註	c=2 d=8.20823e-31 t=228098
pian 	偏	c=1 d=0.229925 t=228098
pian 	片	c=4 d=1.00686e-51 t=228098
pian 	篇	c=15 d=0.00179097 t=228098
pian 	騙	c=1 d=1.28753e-32 t=228098
pian duan 	片段	c=3 d=2.10823e-10 t=228098
pian hao 	偏好	c=3 d=4.20322e-10 t=228098
pian hao she zhi 	偏好設置	c=1 d=2.78369e-15 t=228098
pian hua 	片花	c=0 d=0.00188734 t=228098
pian jian 	偏見	c=2 d=3.82455e-24 t=228098
pian li 	偏離	c=1 d=8.26149e-107 t=228098
pian mian 	片面	c=1 d=1 t=197269
pian ren 	騙人	c=1 d=1 t=221944
pian shi 	偏食	c=1 d=0.000152248 t=228098
pian xiang 	偏向	c=5 d=0.0569625 t=228098
pian xiang yi ge 	偏向一個	c=1 d=3.56267e-06 t=228098
pian xiang yu 	偏向於	c=1 d=1.50309e-59 t=228098
pian yi 	便宜	c=6 d=0.489192 t=228098
pian yi 	偏移	c=6 d=1.04638e-05 t=228098
pian yi liang 	偏移量	c=2 d=0.000105163 t=228098
piao 	票	c=6 d=1.04674e-08 t=228098
piao 	飄	c=2 d=0.0889216 t=228098
piao guo 	飄過	c=1 d=2.32189e-28 t=228098
piao hu bu ding 	飄忽不定	c=1 d=0.00238156 t=228098
piao ju 	票據	c=1 d=1 t=220783
piao liang 	漂亮	c=6 d=2.15904e-05 t=228098
piao qie 	剽竊	c=1 d=1.73049e-40 t=228098
piao xue 	飄雪	c=1 d=1.97369e-87 t=228098
pie wen 	撇問	c=1 d=6.15154e-20 t=228098
pie zhi 	撇值	c=2 d=0.927743 t=228098
pin 	品	c=1 d=3.09082e-11 t=228098
pin 	拼	c=2 d=1 t=221941
pin che 	拼車	c=17 d=4.14545e-16 t=228098
pin cuo 	拼錯	c=1 d=4.30334e-81 t=228098
pin dao 	頻道	c=6 d=5.88906e-07 t=228098
pin fan 	頻繁	c=4 d=0.0500366 t=228098
pin ji 	貧瘠	c=2 d=1.30859e-71 t=228098
pin ji zhi di 	貧瘠之地	c=5 d=3.6484e-71 t=228098
pin jie 	拼接	c=9 d=0.00516939 t=228098
pin jin 	拼勁	c=1 d=1.10284e-34 t=228098
pin lei 	品類	c=1 d=2.29449e-06 t=228098
pin lv 	頻率	c=1 d=5.32773e-05 t=228098
